ted Kingdom
S0033008,P0046,Synthetic fixture product,4,2023-04-16 11:00:00,27.74,SYN0033,France
S0014003,P0040,Synthetic fixture product,1,2023-04-16 12:00:00,15.41,SYN0014,Germany
S0033008,P0059,Synthetic fixture product,5,2023-04-16 12:00:00,17.03,SYN0033,France
S0028002,P0028,Synthetic fixture product,6,2023-04-17 10:00:00,13.77,SYN0028,United Kingdom
S0062013,P0062,Synthetic fixture product,1,2023-04-17 10:00:00,21.54,SYN0062,Germany
S0093013,P0013,Synthetic fixture product,4,2023-04-17 10:00:00,16.85,SYN0093,France
S0010006,P0010,Synthetic fixture product,3,2023-04-17 10:00:00,23.27,SYN0010,Germany
S0041006,P0041,Synthetic fixture product,2,2023-04-17 10:00:00,16.5,SYN0041,France
S0022003,P0022,Synthetic fixture product,2,2023-04-17 10:00:00,13.53,SYN0022,Germany
S0022003,P0035,Synthetic fixture product,6,2023-04-17 11:00:00,13.45,SYN0022,Germany
S0041006,P0054,Synthetic fixture product,1,2023-04-17 11:00:00,16.38,SYN0041,France
S0010006,P0023,Synthetic fixture product,2,2023-04-17 11:00:00,14.86,SYN0010,Germany
S0093013,P0026,Synthetic fixture product,1,2023-04-17 11:00:00,17.12,SYN0093,France
S0041006,P0067,Synthetic fixture product,3,2023-04-17 12:00:00,14.1,SYN0041,France
S0076005,P0076,Synthetic fixture product,5,2023-04-18 10:00:00,15.18,SYN0076,United Kingdom
S0113003,P0033,Synthetic fixture product,2,2023-04-18 10:00:00,24.97,SYN0113,France
S0007005,P0007,Synthetic fixture product,2,2023-04-18 10:00:00,11.66,SYN0007,Netherlands
S0006008,P0006,Synthetic fixture product,3,2023-04-18 10:00:00,17.17,SYN0006,Germany
S0118003,P0038,Synthetic fixture product,3,2023-04-18 10:00:00,30.99,SYN0118,Germany
S0044005,P0044,Synthetic fixture product,5,2023-04-18 10:00:00,24.38,SYN0044,United Kingdom
S0006008,P0019,Synthetic fixture product,4,2023-04-18 11:00:00,12.59,SYN0006,Germany
S0044005,P0057,Synthetic fixture product,4,2023-04-18 11:00:00,17.46,SYN0044,United Kingdom
S0113003,P0046,Synthetic fixture product,6,2023-04-18 11:00:00,13.84,SYN0113,France
S0118003,P0051,Synthetic fixture product,1,2023-04-18 11:00:00,22.19,SYN0118,Germany
S0006008,P0032,Synthetic fixture product,4,2023-04-18 12:00:00,18.59,SYN0006,Germany
S0113003,P0059,Synthetic fixture product,5,2023-04-18 12:00:00,25.84,SYN0113,France
S0015004,P0015,Synthetic fixture product,6,2023-04-19 10:00:00,26.62,SYN0015,Netherlands
S0099007,P0019,Synthetic fixture product,1,2023-04-19 10:00:00,29.43,SYN0099,Netherlands
S0097006,P0017,Synthetic fixture product,3,2023-04-19 10:00:00,14.81,SYN0097,France
S0040005,P0040,Synthetic fixture product,2,2023-04-19 10:00:00,15.12,SYN0040,United Kingdom
S0003007,P0003,Synthetic fixture product,5,2023-04-19 10:00:00,13.44,SYN0003,Netherlands
S0064009,P0064,Synthetic fixture product,5,2023-04-19 10:00:00,18.29,SYN0064,United Kingdom
S0032011,P0032,Synthetic fixture product,3,2023-04-19 10:00:00,17.26,SYN0032,United Kingdom
S0008006,P0008,Synthetic fixture product,5,2023-04-19 10:00:00,19.69,SYN0008,United Kingdom
S0009005,P0009,Synthetic fixture product,1,2023-04-19 10:00:00,23.26,SYN0009,France
S0051004,P0051,Synthetic fixture product,6,2023-04-19 10:00:00,8.14,SYN0051,Netherlands
S0031010,P0031,Synthetic fixture product,5,2023-04-19 10:00:00,20.52,SYN0031,Netherlands
S0032011,P0045,Synthetic fixture product,3,2023-04-19 11:00:00,30.48,SYN0032,United Kingdom
S0064009,P0077,Synthetic fixture product,6,2023-04-19 11:00:00,23.14,SYN0064,United Kingdom
S0009005,P0022,Synthetic fixture product,3,2023-04-19 11:00:00,14.8,SYN0009,France
S0003007,P0016,Synthetic fixture product,4,2023-04-19 11:00:00,12.55,SYN0003,Netherlands
S0099007,P0032,Synthetic fixture product,3,2023-04-19 11:00:00,29.75,SYN0099,Netherlands
S0051004,P0064,Synthetic fixture product,2,2023-04-19 11:00:00,8.66,SYN0051,Netherlands
S0031010,P0044,Synthetic fixture product,6,2023-04-19 11:00:00,18.0,SYN0031,Netherlands
S0008006,P0021,Synthetic fixture product,5,2023-04-19 11:00:00,15.9,SYN0008,United Kingdom
S0015004,P0028,Synthetic fixture product,2,2023-04-19 11:00:00,22.43,SYN0015,Netherlands
S0097006,P0030,Synthetic fixture product,4,2023-04-19 11:00:00,22.37,SYN0097,France
S0009005,P0035,Synthetic fixture product,2,2023-04-19 12:00:00,20.87,SYN0009,France
S0008006,P0034,Synthetic fixture product,6,2023-04-19 12:00:00,16.96,SYN0008,United Kingdom
S0031010,P0057,Synthetic fixture product,2,2023-04-19 12:00:00,16.79,SYN0031,Netherlands
S0084003,P0004,Synthetic fixture product,4,2023-04-20 10:00:00,28.49,SYN0084,United Kingdom
S0096007,P0016,Synthetic fixture product,6,2023-04-20 10:00:00,15.54,SYN0096,United Kingdom
S0073005,P0073,Synthetic fixture product,2,2023-04-20 10:00:00,12.37,SYN0073,France
S0116003,P0036,Synthetic fixture product,3,2023-04-20 10:00:00,26.68,SYN0116,United Kingdom
S0063012,P0063,Synthetic fixture product,3,2023-04-20 10:00:00,15.82,SYN0063,Netherlands
S0089002,P0009,Synthetic fixture product,5,2023-04-20 10:00:00,8.61,SYN0089,France
S0067007,P0067,Synthetic fixture product,3,2023-04-20 10:00:00,22.24,SYN0067,Netherlands
S0001012,P0001,Synthetic fixture product,4,2023-04-20 10:00:00,11.37,SYN0001,France
S0000015,P0000,Synthetic fixture product,5,2023-04-20 10:00:00,7.77,SYN0000,United Kingdom
S0116003,P0049,Synthetic fixture product,1,2023-04-20 11:00:00,17.03,SYN0116,United Kingdom
S0067007,P0000,Synthetic fixture product,1,2023-04-20 11:00:00,17.04,SYN0067,Netherlands
S0096007,P0029,Synthetic fixture product,3,2023-04-20 11:00:00,23.75,SYN0096,United Kingdom
S0089002,P0022,Synthetic fixture product,4,2023-04-20 11:00:00,8.46,SYN0089,France
S0001012,P0014,Synthetic fixture product,1,2023-04-20 11:00:00,10.96,SYN0001,France
S0067007,P0013,Synthetic fixture product,2,2023-04-20 12:00:00,18.4,SYN0067,Netherlands
S0116003,P0062,Synthetic fixture product,4,2023-04-20 12:00:00,18.81,SYN0116,United Kingdom
CS0067007,P0067,Synthetic fixture return,-1,2023-04-21 00:00:00,24.0,SYN0067,Netherlands
S0094012,P0014,Synthetic fixture product,6,2023-04-21 10:00:00,15.02,SYN0094,Germany
S0034008,P0034,Synthetic fixture product,4,2023-04-21 10:00:00,6.6,SYN0034,Germany
S0048004,P0048,Synthetic fixture product,6,2023-04-21 10:00:00,22.62,SYN0048,United Kingdom
S0004009,P0004,Synthetic fixture product,6,2023-04-21 10:00:00,9.69,SYN0004,United Kingdom
S0070006,P0070,Synthetic fixture product,6,2023-04-21 10:00:00,7.57,SYN0070,Germany
S0095009,P0015,Synthetic fixture product,6,2023-04-21 10:00:00,14.98,SYN0095,Netherlands
S0095009,P0028,Synthetic fixture product,5,2023-04-21 11:00:00,15.6,SYN0095,Netherlands
S0070006,P0003,Synthetic fixture product,3,2023-04-21 11:00:00,12.07,SYN0070,Germany
S0094012,P0027,Synthetic fixture product,6,2023-04-21 11:00:00,18.49,SYN0094,Germany
S0048004,P0061,Synthetic fixture product,2,2023-04-21 11:00:00,25.42,SYN0048,United Kingdom
S0004009,P0017,Synthetic fixture product,2,2023-04-21 11:00:00,9.41,SYN0004,United Kingdom
S0095009,P0041,Synthetic fixture product,1,2023-04-21 12:00:00,13.68,SYN0095,Netherlands
S0043004,P0043,Synthetic fixture product,6,2023-04-22 10:00:00,21.95,SYN0043,Netherlands
S0098008,P0018,Synthetic fixture product,1,2023-04-22 10:00:00,27.28,SYN0098,Germany
S0002010,P0002,Synthetic fixture product,5,2023-04-22 10:00:00,12.48,SYN0002,Germany
S0079004,P0079,Synthetic fixture product,6,2023-04-22 10:00:00,23.41,SYN0079,Netherlands
S0087003,P0007,Synthetic fixture product,6,2023-04-22 10:00:00,9.88,SYN0087,Netherlands
S0079004,P0012,Synthetic fixture product,1,2023-04-22 11:00:00,23.1,SYN0079,Netherlands
S0043004,P0056,Synthetic fixture product,1,2023-04-22 11:00:00,13.98,SYN0043,Netherlands
S0098008,P0031,Synthetic fixture product,1,2023-04-22 11:00:00,18.98,SYN0098,Germany
S0079004,P0025,Synthetic fixture product,5,2023-04-22 12:00:00,17.93,SYN0079,Netherlands
S0043004,P0069,Synthetic fixture product,2,2023-04-22 12:00:00,16.19,SYN0043,Netherlands
S0100006,P0020,Synthetic fixture product,4,2023-04-23 10:00:00,20.93,SYN0100,United Kingdom
S0108005,P0028,Synthetic fixture product,6,2023-04-23 10:00:00,17.6,SYN0108,United Kingdom
S0042005,P0042,Synthetic fixture product,5,2023-04-23 10:00:00,14.06,SYN0042,Germany
S0105005,P0025,Synthetic fixture product,2,2023-04-23 10:00:00,7.74,SYN0105,France
S0068008,P0068,Synthetic fixture product,1,2023-04-23 10:00:00,9.24,SYN0068,United Kingdom
S0026003,P0026,Synthetic fixture product,6,2023-04-23 10:00:00,22.77,SYN0026,Germany
S0047004,P0047,Synthetic fixture product,3,2023-04-23 10:00:00,23.44,SYN0047,Netherlands
S0016004,P0016,Synthetic fixture product,1,2023-04-23 10:00:00,21.25,SYN0016,United Kingdom
S0105005,P0038,Synthetic fixture product,6,2023-04-23 11:00:00,8.6,SYN0105,France
S0016004,P0029,Synthetic fixture product,6,2023-04-23 11:00:00,20.25,SYN0016,United Kingdom
S0068008,P0001,Synthetic fixture product,3,2023-04-23 11:00:00,6.47,SYN0068,United Kingdom
S0100006,P0033,Synthetic fixture product,5,2023-04-23 11:00:00,19.35,SYN0100,United Kingdom
S0042005,P0055,Synthetic fixture product,5,2023-04-23 11:00:00,16.92,SYN0042,Germany
S0026003,P0039,Synthetic fixture product,2,2023-04-23 11:00:00,13.57,SYN0026,Germany
S0108005,P0041,Synthetic fixture product,2,2023-04-23 11:00:00,16.11,SYN0108,United Kingdom
S0016004,P0042,Synthetic fixture product,4,2023-04-23 12:00:00,31.72,SYN0016,United Kingdom
S0026003,P0052,Synthetic fixture product,2,2023-04-23 12:00:00,21.59,SYN0026,Germany
S0042005,P0068,Synthetic fixture product,1,2023-04-23 12:00:00,15.47,SYN0042,Germany
S0105005,P0051,Synthetic fixture product,4,2023-04-23 12:00:00,9.91,SYN0105,France
S0108005,P0054,Synthetic fixture product,5,2023-04-23 12:00:00,12.53,SYN0108,United Kingdom
S0077005,P0077,Synthetic fixture product,6,2023-04-24 10:00:00,14.06,SYN0077,France
S0053003,P0053,Synthetic fixture product,6,2023-04-24 10:00:00,12.0,SYN0053,France
S0093014,P0013,Synthetic fixture product,3,2023-04-24 10:00:00,15.51,SYN0093,France
S0062014,P0062,Synthetic fixture product,5,2023-04-24 10:00:00,17.31,SYN0062,Germany
S0065009,P0065,Synthetic fixture product,4,2023-04-24 10:00:00,28.28,SYN0065,France
S0077005,P0010,Synthetic fixture product,3,2023-04-24 11:00:00,15.84,SYN0077,France
S0093014,P0026,Synthetic fixture product,4,2023-04-24 11:00:00,11.24,SYN0093,France
S0062014,P0075,Synthetic fixture product,3,2023-04-24 11:00:00,26.16,SYN0062,Germany
S0065009,P0078,Synthetic fixture product,1,2023-04-24 11:00:00,29.77,SYN0065,France
S0053003,P0066,Synthetic fixture product,1,2023-04-24 11:00:00,11.21,SYN0053,France
S0065009,P0011,Synthetic fixture product,3,2023-04-24 12:00:00,23.48,SYN0065,France
S0053003,P0079,Synthetic fixture product,1,2023-04-24 12:00:00,7.67,SYN0053,France
S0093014,P0039,Synthetic fixture product,2,2023-04-24 12:00:00,11.81,SYN0093,France
CS0065009,P0065,Synthetic fixture return,-1,2023-04-25 00:00:00,22.0,SYN0065,France
S0029002,P0029,Synthetic fixture product,4,2023-04-25 10:00:00,15.65,SYN0029,France
S0086003,P0006,Synthetic fixture product,6,2023-04-25 10:00:00,7.48,SYN0086,Germany
S0101007,P0021,Synthetic fixture product,5,2023-04-25 10:00:00,31.61,SYN0101,France
S0005008,P0005,Synthetic fixture product,2,2023-04-25 10:00:00,17.54,SYN0005,France
S0033009,P0033,Synthetic fixture product,1,2023-04-25 10:00:00,20.97,SYN0033,France
S0102006,P0022,Synthetic fixture product,2,2023-04-25 10:00:00,7.53,SYN0102,Germany
S0119003,P0039,Synthetic fixture product,5,2023-04-25 10:00:00,6.29,SYN0119,Netherlands
S0086003,P0019,Synthetic fixture product,4,2023-04-25 11:00:00,11.71,SYN0086,Germany
S0029002,P0042,Synthetic fixture product,2,2023-04-25 11:00:00,17.34,SYN0029,France
S0005008,P0018,Synthetic fixture product,5,2023-04-25 11:00:00,11.9,SYN0005,France
S0119003,P0052,Synthetic fixture product,3,2023-04-25 11:00:00,9.64,SYN0119,Netherlands
S0086003,P0032,Synthetic fixture product,3,2023-04-25 12:00:00,10.05,SYN0086,Germany
S0119003,P0065,Synthetic fixture product,4,2023-04-25 12:00:00,6.91,SYN0119,Netherlands
S0037007,P0037,Synthetic fixture product,2,2023-04-26 10:00:00,9.63,SYN0037,France
S0035007,P0035,Synthetic fixture product,2,2023-04-26 10:00:00,11.24,SYN0035,Netherlands
S0036008,P0036,Synthetic fixture product,3,2023-04-26 10:00:00,8.43,SYN0036,United Kingdom
S0061002,P0061,Synthetic fixture product,6,2023-04-26 10:00:00,22.84,SYN0061,France
S0039007,P0039,Synthetic fixture product,5,2023-04-26 10:00:00,16.65,SYN0039,Netherlands
S0031011,P0031,Synthetic fixture product,2,2023-04-26 10:00:00,17.25,SYN0031,Netherlands
S0080004,P0000,Synthetic fixture product,3,2023-04-26 10:00:00,21.09,SYN0080,United Kingdom
S0036008,P0049,Synthetic fixture product,5,2023-04-26 11:00:00,13.22,SYN0036,United Kingdom
S0037007,P0050,Synthetic fixture product,6,2023-04-26 11:00:00,8.85,SYN0037,France
S0039007,P0052,Synthetic fixture product,5,2023-04-26 11:00:00,9.59,SYN0039,Netherlands
S0037007,P0063,Synthetic fixture product,3,2023-04-26 12:00:00,14.42,SYN0037,France
S0036008,P0062,Synthetic fixture product,1,2023-04-26 12:00:00,12.35,SYN0036,United Kingdom
S0032012,P0032,Synthetic fixture product,5,2023-04-27 10:00:00,16.28,SYN0032,United Kingdom
S0019004,P0019,Synthetic fixture product,6,2023-04-27 10:00:00,7.98,SYN0019,Netherlands
S0000016,P0000,Synthetic fixture product,6,2023-04-27 10:00:00,9.42,SYN0000,United Kingdom
S0075005,P0075,Synthetic fixture product,6,2023-04-27 10:00:00,18.8,SYN0075,Netherlands
S0012004,P0012,Synthetic fixture product,5,2023-04-27 10:00:00,19.6,SYN0012,United Kingdom
S0066010,P0066,Synthetic fixture product,4,2023-04-27 10:00:00,18.41,SYN0066,Germany
S0019004,P0032,Synthetic fixture product,2,2023-04-27 11:00:00,8.32,SYN0019,Netherlands
S0012004,P0025,Synthetic fixture product,5,2023-04-27 11:00:00,22.54,SYN0012,United Kingdom
S0075005,P0008,Synthetic fixture product,4,2023-04-27 11:00:00,13.04,SYN0075,Netherlands
S0000016,P0013,Synthetic fixture product,2,2023-04-27 11:00:00,6.38,SYN0000,United Kingdom
S0066010,P0079,Synthetic fixture product,2,2023-04-27 11:00:00,29.15,SYN0066,Germany
S0032012,P0045,Synthetic fixture product,4,2023-04-27 11:00:00,30.65,SYN0032,United Kingdom
S0032012,P0058,Synthetic fixture product,2,2023-04-27 12:00:00,24.95,SYN0032,United Kingdom
S0075005,P0021,Synthetic fixture product,3,2023-04-27 12:00:00,13.44,SYN0075,Netherlands
S0019004,P0045,Synthetic fixture product,3,2023-04-27 12:00:00,7.68,SYN0019,Netherlands
S0064010,P0064,Synthetic fixture product,6,2023-04-28 10:00:00,15.59,SYN0064,United Kingdom
S0063013,P0063,Synthetic fixture product,1,2023-04-28 10:00:00,17.08,SYN0063,Netherlands
S0030002,P0030,Synthetic fixture product,4,2023-04-28 10:00:00,29.2,SYN0030,Germany
S0046004,P0046,Synthetic fixture product,4,2023-04-28 10:00:00,16.27,SYN0046,Germany
S0013004,P0013,Synthetic fixture product,4,2023-04-28 10:00:00,18.68,SYN0013,France
S0011006,P0011,Synthetic fixture product,4,2023-04-28 10:00:00,25.94,SYN0011,Netherlands
S0001013,P0001,Synthetic fixture product,5,2023-04-28 10:00:00,7.13,SYN0001,France
S0013004,P0026,Synthetic fixture product,5,2023-04-28 11:00:00,27.71,SYN0013,France
S0063013,P0076,Synthetic fixture product,4,2023-04-28 11:00:00,27.1,SYN0063,Netherlands
S0011006,P0024,Synthetic fixture product,4,2023-04-28 11:00:00,15.66,SYN0011,Netherlands
S0030002,P0043,Synthetic fixture product,2,2023-04-28 11:00:00,20.76,SYN0030,Germany
S0001013,P0014,Synthetic fixture product,3,2023-04-28 11:00:00,12.14,SYN0001,France
S0064010,P0077,Synthetic fixture product,5,2023-04-28 11:00:00,16.95,SYN0064,United Kingdom
S0046004,P0059,Synthetic fixture product,2,2023-04-28 11:00:00,21.7,SYN0046,Germany
S0013004,P0039,Synthetic fixture product,2,2023-04-28 12:00:00,16.34,SYN0013,France
S0030002,P0056,Synthetic fixture product,1,2023-04-28 12:00:00,27.57,SYN0030,Germany
S0046004,P0072,Synthetic fixture product,1,2023-04-28 12:00:00,18.61,SYN0046,Germany
S0064010,P0010,Synthetic fixture product,4,2023-04-28 12:00:00,24.55,SYN0064,United Kingdom
S0011006,P0037,Synthetic fixture product,3,2023-04-28 12:00:00,22.32,SYN0011,Netherlands
S0001013,P0027,Synthetic fixture product,1,2023-04-28 12:00:00,8.8,SYN0001,France
CS0064010,P0064,Synthetic fixture return,-1,2023-04-29 00:00:00,21.0,SYN0064,United Kingdom
S0092003,P0012,Synthetic fixture product,4,2023-04-29 10:00:00,15.03,SYN0092,United Kingdom
S0110004,P0030,Synthetic fixture product,5,2023-04-29 10:00:00,11.78,SYN0110,Germany
S0071007,P0071,Synthetic fixture product,6,2023-04-29 10:00:00,10.82,SYN0071,Netherlands
S0038006,P0038,Synthetic fixture product,1,2023-04-29 10:00:00,12.93,SYN0038,Germany
S0052004,P0052,Synthetic fixture product,1,2023-04-29 10:00:00,12.25,SYN0052,United Kingdom
S0094013,P0014,Synthetic fixture product,1,2023-04-29 10:00:00,19.2,SYN0094,Germany
S0085003,P0005,Synthetic fixture product,4,2023-04-29 10:00:00,10.04,SYN0085,France
S0003008,P0003,Synthetic fixture product,1,2023-04-29 10:00:00,8.9,SYN0003,Netherlands
S0085003,P0018,Synthetic fixture product,5,2023-04-29 11:00:00,7.22,SYN0085,France
S0052004,P0065,Synthetic fixture product,1,2023-04-29 11:00:00,11.98,SYN0052,United Kingdom
S0003008,P0016,Synthetic fixture product,6,2023-04-29 11:00:00,13.36,SYN0003,Netherlands
S0092003,P0025,Synthetic fixture product,2,2023-04-29 11:00:00,16.32,SYN0092,United Kingdom
S0038006,P0051,Synthetic fixture product,2,2023-04-29 11:00:00,12.44,SYN0038,Germany
S0094013,P0027,Synthetic fixture product,5,2023-04-29 11:00:00,15.89,SYN0094,Germany
S0038006,P0064,Synthetic fixture product,6,2023-04-29 12:00:00,8.81,SYN0038,Germany
S0052004,P0078,Synthetic fixture product,3,2023-04-29 12:00:00,6.92,SYN0052,United Kingdom
S0092003,P0038,Synthetic fixture product,5,2023-04-29 12:00:00,10.94,SYN0092,United Kingdom
S0003008,P0029,Synthetic fixture product,1,2023-04-29 12:00:00,9.78,SYN0003,Netherlands
S0094013,P0040,Synthetic fixture product,5,2023-04-29 12:00:00,12.05,SYN0094,Germany
S0021003,P0021,Synthetic fixture product,6,2023-04-30 10:00:00,10.39,SYN0021,France
S0095010,P0015,Synthetic fixture product,5,2023-04-30 10:00:00,15.0,SYN0095,Netherlands
S0097007,P0017,Synthetic fixture product,4,2023-04-30 10:00:00,23.93,SYN0097,France
S0096008,P0016,Synthetic fixture product,3,2023-04-30 10:00:00,21.17,SYN0096,United Kingdom
S0083003,P0003,Synthetic fixture product,5,2023-04-30 10:00:00,30.25,SYN0083,Netherlands
S0115003,P0035,Synthetic fixture product,4,2023-04-30 10:00:00,21.35,SYN0115,Netherlands
S0069007,P0069,Synthetic fixture product,5,2023-04-30 10:00:00,9.63,SYN0069,France
